[ 2025-03-11 17:20:20,525 ] 149 tensorflow - WARNING - From E:\Python\Data_science_project\Anime_recommender_system\anime_recommender\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.
 
[ 2025-03-11 17:20:22,275 ] 70 root - INFO - Loading Preprocessed Data from artifacts\data\data_frame\Anime_data.pkl 
[ 2025-03-11 17:20:22,359 ] 70 root - INFO - Loading SBERT model from artifacts\model\SBERT_model.pkl 
[ 2025-03-11 17:20:22,721 ] 37 root - INFO - Building the embedding matrix 
[ 2025-03-11 17:20:22,721 ] 25 root - INFO - Creating Embeddings of synopsis 
[ 2025-03-11 17:33:16,826 ] 27 root - INFO - Embeddings created Successfully 
[ 2025-03-11 17:33:16,827 ] 28 root - INFO - Saving the Updated data frame 
[ 2025-03-11 17:33:16,828 ] 60 root - INFO - Saving Data along with embeddings of synopsis 
[ 2025-03-11 17:33:19,008 ] 63 root - INFO - Data along with embeddings of synopsis saved successfully at src\components\artifacts\data\data_frame\Anime_data_final.pkl 
[ 2025-03-11 17:33:19,008 ] 30 root - INFO - Updated Dataframe saved successfully at src\components\artifacts\data\data_frame\Anime_data_final.pkl 
[ 2025-03-11 17:33:19,043 ] 40 root - INFO - Embedding matrix built successfully 
[ 2025-03-11 17:33:19,043 ] 60 root - INFO - Saving Embedding Matrix 
[ 2025-03-11 17:33:19,168 ] 63 root - INFO - Embedding Matrix saved successfully at src\components\artifacts\embedding_matrix\embedding_matrix.pkl 
