[ 2025-03-11 18:30:17,911 ] 149 tensorflow - WARNING - From E:\Python\Data_science_project\Anime_recommender_system\anime_recommender\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.
 
[ 2025-03-11 18:30:18,577 ] 35 root - INFO - Making Initial request to set the next page flag. 
[ 2025-03-11 18:30:19,591 ] 43 root - INFO - Data Ingestion Started. 
[ 2025-03-11 18:55:11,288 ] 76 root - INFO -  Data Ingestion Completed. 
[ 2025-03-11 18:55:11,288 ] 61 root - INFO - artifacts\data\raw Directory path for Animes Dictionary 
[ 2025-03-11 18:55:11,288 ] 63 root - INFO - Saving Animes Dictionary 
[ 2025-03-11 18:55:11,759 ] 66 root - INFO - Animes Dictionary saved successfully at artifacts\data\raw\raw_data.pkl 
[ 2025-03-11 18:55:11,759 ] 73 root - INFO - Loading Animes Dictionary from artifacts\data\raw\raw_data.pkl 
[ 2025-03-11 18:55:11,796 ] 28 root - INFO - Building the DataFrame 
[ 2025-03-11 18:55:11,821 ] 30 root - INFO - Built the Dataframe successfully 
[ 2025-03-11 18:55:11,821 ] 38 root - INFO - Started transforming the Data. 
[ 2025-03-11 18:55:12,415 ] 54 root - INFO - title english, synonyms column transformation completed. 
[ 2025-03-11 18:55:12,819 ] 58 root - INFO - Cleaning of updated synopsis completed 
[ 2025-03-11 19:03:07,882 ] 60 root - INFO - preprocessing of updated synopsis completed 
[ 2025-03-11 19:03:07,882 ] 63 root - INFO - Data Transformation Completed. 
[ 2025-03-11 19:03:07,896 ] 61 root - INFO - artifacts\data\data_frame Directory path for Preprocessed Data 
[ 2025-03-11 19:03:07,897 ] 63 root - INFO - Saving Preprocessed Data 
[ 2025-03-11 19:03:08,328 ] 66 root - INFO - Preprocessed Data saved successfully at artifacts\data\data_frame\Anime_data.pkl 
[ 2025-03-11 19:03:08,328 ] 73 root - INFO - Loading Preprocessed Data from artifacts\data\data_frame\Anime_data.pkl 
[ 2025-03-11 19:03:08,359 ] 21 root - INFO - Model Initiallization Started 
[ 2025-03-11 19:03:08,375 ] 210 sentence_transformers.SentenceTransformer - INFO - Use pytorch device_name: cpu 
[ 2025-03-11 19:03:08,375 ] 218 sentence_transformers.SentenceTransformer - INFO - Load pretrained SentenceTransformer: all-MiniLM-L6-v2 
[ 2025-03-11 19:03:12,465 ] 23 root - INFO - Model Initiallized successfully 
[ 2025-03-11 19:03:12,465 ] 61 root - INFO - artifacts\model Directory path for SBERT model 
[ 2025-03-11 19:03:12,465 ] 63 root - INFO - Saving SBERT model 
[ 2025-03-11 19:03:13,180 ] 66 root - INFO - SBERT model saved successfully at artifacts\model\SBERT_model.pkl 
[ 2025-03-11 19:03:13,180 ] 73 root - INFO - Loading SBERT model from artifacts\model\SBERT_model.pkl 
[ 2025-03-11 19:03:13,321 ] 37 root - INFO - Building the embedding matrix 
[ 2025-03-11 19:03:13,321 ] 25 root - INFO - Creating Embeddings of synopsis 
[ 2025-03-11 19:13:54,073 ] 27 root - INFO - Embeddings created Successfully 
[ 2025-03-11 19:13:54,073 ] 28 root - INFO - Saving the Updated data frame 
[ 2025-03-11 19:13:54,073 ] 61 root - INFO - src\components\artifacts\data\data_frame Directory path for Data along with embeddings of synopsis 
[ 2025-03-11 19:13:54,073 ] 63 root - INFO - Saving Data along with embeddings of synopsis 
[ 2025-03-11 19:13:56,298 ] 66 root - INFO - Data along with embeddings of synopsis saved successfully at src\components\artifacts\data\data_frame\Anime_data_final.pkl 
[ 2025-03-11 19:13:56,299 ] 30 root - INFO - Updated Dataframe saved successfully at src\components\artifacts\data\data_frame\Anime_data_final.pkl 
[ 2025-03-11 19:13:56,345 ] 40 root - INFO - Embedding matrix built successfully 
[ 2025-03-11 19:13:56,351 ] 61 root - INFO - src\components\artifacts\embedding_matrix Directory path for Embedding Matrix 
[ 2025-03-11 19:13:56,352 ] 63 root - INFO - Saving Embedding Matrix 
[ 2025-03-11 19:13:56,434 ] 66 root - INFO - Embedding Matrix saved successfully at src\components\artifacts\embedding_matrix\embedding_matrix.pkl 
